,0,1,2,3,4,5,6,7,8
0,0.0,16.0,1.0,22.0,41.0,86.0,,,
1,1.0,17.0,25.0,,,,,,
2,0.0,16.0,36.0,22.0,86.0,41.0,,,
3,2.0,18.0,37.0,62.0,41.0,,,,
4,3.0,19.0,38.0,57.0,21.0,106.0,119.0,,
5,4.0,20.0,39.0,25.0,,,,,
6,1.0,21.0,40.0,63.0,87.0,,,,
7,1.0,22.0,41.0,10.0,21.0,,,,
8,1.0,21.0,39.0,27.0,25.0,,,,
9,1.0,21.0,42.0,64.0,43.0,,,,
10,,,,,,,,,
11,,,,,,,,,
12,1.0,0.0,21.0,65.0,,,,,
13,1.0,0.0,21.0,65.0,13.0,107.0,,,
14,1.0,23.0,43.0,21.0,88.0,78.0,,,
15,1.0,0.0,16.0,66.0,89.0,108.0,120.0,,
16,1.0,0.0,28.0,67.0,64.0,,,,
17,5.0,21.0,13.0,68.0,90.0,,,,
18,5.0,24.0,21.0,13.0,91.0,109.0,112.0,,
19,1.0,25.0,39.0,0.0,16.0,83.0,121.0,9.0,131.0
20,1.0,25.0,39.0,0.0,92.0,110.0,122.0,129.0,
21,0.0,3.0,44.0,69.0,93.0,111.0,27.0,11.0,
22,6.0,26.0,45.0,13.0,94.0,112.0,123.0,20.0,132.0
23,0.0,1.0,46.0,64.0,,,,,
24,1.0,11.0,27.0,70.0,44.0,113.0,124.0,,
25,7.0,10.0,47.0,71.0,95.0,64.0,125.0,,
26,4.0,18.0,41.0,72.0,13.0,114.0,126.0,130.0,
27,8.0,0.0,1.0,27.0,9.0,,,,
28,9.0,1.0,48.0,73.0,96.0,,,,
29,0.0,27.0,13.0,74.0,1.0,,,,
30,0.0,28.0,1.0,67.0,97.0,,,,
31,10.0,24.0,49.0,1.0,11.0,44.0,99.0,55.0,
32,1.0,0.0,50.0,9.0,25.0,39.0,43.0,,
33,4.0,18.0,41.0,75.0,98.0,102.0,,,
34,11.0,29.0,51.0,1.0,99.0,,,,
35,0.0,1.0,52.0,76.0,100.0,115.0,,,
36,0.0,1.0,53.0,77.0,,,,,
37,12.0,10.0,54.0,78.0,23.0,116.0,,,
38,1.0,30.0,55.0,41.0,43.0,64.0,,,
39,1.0,31.0,43.0,79.0,101.0,,,,
40,1.0,0.0,31.0,80.0,64.0,43.0,,,
41,4.0,13.0,18.0,81.0,102.0,117.0,127.0,,
42,13.0,25.0,56.0,4.0,,,,,
43,14.0,32.0,57.0,27.0,,,,,
44,14.0,33.0,57.0,82.0,,,,,
45,1.0,0.0,58.0,66.0,64.0,118.0,,,
46,15.0,0.0,59.0,64.0,103.0,,,,
47,15.0,34.0,0.0,83.0,16.0,39.0,25.0,,
48,13.0,35.0,60.0,84.0,104.0,,,,
49,0.0,16.0,11.0,85.0,105.0,64.0,128.0,,
50,0.0,1.0,61.0,43.0,,,,,
